用户名,评论时间,评论内容,评分,赞同数,情感
JQ,2022/7/9 4:21,又上当了，无趣的片子，一个人大杀四方眼都不眨（哦，人家是瞎子，确实不用眨眼）干翻几百个，画面不美音乐无感，都2202年了还给我看这种，更可笑的是多瑙评分竟然9.5，呵呵！,20,4,0
周眠,2022/6/14 11:57,“没有公道的事情我们见了多少，你给得过来吗？！”“那就从她开始吧。”,50,6,1
榜上有名猫,2022/7/3 21:50,因为预期低，结果超预期，快意恩仇，爽！但特效方面过度渲染，建议应该收敛些，注重实感而往拼死往视觉系靠拢。,40,1,1
潇潇宇歇,2022/6/7 21:20,"谢苗的网大事业终于取得了突破，撒花！PS：本片结构完整，构图精美，故事情节紧张严密，动作场面干净利落，确实是佳作！当然，本片也有瑕疵，比如牛肉面当街卖这种事，在唐代，耕牛不允许随意宰杀，牛肉更是难得吃上，当街卖就有点水浒的赶脚了。另外，本片有些许以倭代唐之感，比如在最终决战之时成瞎子的刀法就有点日式剑戟片的感觉，宇文家举办葬礼时跳的舞蹈也像日式舞蹈。不过瑕不掩瑜，整体还是很优秀的。
PS2：做对的事有时候不需要理由，仅仅因为它是对的！",50,21,1
三叶刀,2022/10/18 10:32,"70分钟的电影，现在已经很少很少了，一部热血武侠片，该有的都有了，酣畅淋漓。动作、音乐都很棒。
杀一个人要偿命，杀一万个就不用了。政治，乃至大局，也就是这样了。",50,9,1
司马良木,2022/7/22 18:57,这个电影告诉我们，电影的简单制作并不难，符合基本的文学戏剧规律、美术音乐服化道团队正常到位，就可以。依然能获得网友好评。只有当团队完全为了规律以外的东西、毫不在意侮辱观众尊严这件事而操作时，烂才开始没有边际。,50,22,1
玫瑰水母,2022/7/30 21:40,是有点东西的网大，导演水平不糙，台词也不尬（不过最大bug就是瞎子不可能听不到女主被灭门的惨叫声），武戏可以，意境也营造到位了，有些镜头挺好看的,40,1,1
Tony_Yeung,2022/7/29 12:53,"百战归来酒尚温，繁霜侵鬓转消沉。但愿人间留侠气，不教狐鼠敢相侵。
再简单而普通的剧本和制作，也难掩那久违了的侠义。其实，江湖本就纯粹，一念起百剑生，恩仇快意，舍生取义，讨个公道罢了。",40,4,1
福利,2022/6/9 13:53,故事虽然简单，但是就是纯粹的武侠片，配乐和效果动作都很好！！难得好片,50,17,1
手拥兵?,2022/6/4 16:06,看得出男主演员本人身手不凡，这可能是看过的最帅的武侠世界里的瞎子了吧，行侠仗义惩恶扬善长相也很凌厉，颇有枭雄之风。感觉武侠小说里的瞎子往往都是深藏不露的高手，眼瞎心不瞎，凭一身功夫总能在江湖中大有一番作为。这大概就是“上帝关闭了一扇门就会为你打开一扇窗”吧。,50,21,1
知难而退,2022/6/3 19:43,"堪称第二部 盲战 了。在网大里中等了
剧情源自战狼么→_→
超级英雄 盲僧 ，这个人物造型和 海贼王 藤虎一笑 几无区别。",10,14,0
张华弥,2022/6/3 12:56,盲侠复仇记。致敬经典的设定，主人公招招下死手，拷问、斩首干净利索实在痛快，雪中决战的招式很有创意，反派虽然不够打，但因为原生家庭背景立体了许多，完成了性格上的蜕变。可以说，盲侠是唯一一个承认自己不看脸的，所以他的行侠仗义就多了几分铁肩担道义的正气。,40,14,1
苏乏,2022/7/21 0:10,够胆只拍74分钟，摄影、灯光和导演磨合得非常好，秦鹏飞的动作添彩不少，无论对谢苗还是导演，都称得上代表作,0,3,0
冰山的阴影,2023/4/13 0:43,一次漂亮的武侠回潮，可以给四星鼓励。,40,0,1
道臣岚,2022/9/1 16:27,不错，相当不错。一直想看武侠片拍出西部范儿，这片有那味儿了！其实武侠片故事不用那么复杂，人物立得住，矛盾够激烈，动作够狠，镜头够风格，就很好了。,40,5,1
Panda的影音,2022/7/4 22:48,和去年的那部《硬汉枪神》类似：就拍摄制作而言感觉还不错，但影片本身还是没能让我很喜欢。★★★☆,40,2,1
Miss不S,2022/6/11 23:45,可以一片封神了，故事好、画面好、演技好。经历过世事才知道哪有什么公道可言，忍才是寻常生活，英雄救美的故事看看就好，如果因此期待自己得偿所愿，恐怕要一生坎坷了。,50,23,1
小A,2022/10/5 18:07,飞机上看的。质感有。,30,0,1
深夜的阿斯伯格,2022/7/4 8:20,更像是一个日本幕府的故事,30,1,1
大号煎饼,2022/6/5 22:52,特点鲜明简单粗暴直男最爱,40,8,1
梁威是条狗,2023/4/6 9:41,军中将士缘何沦为赏金猎人，舍身挑战权贵势力只为讨公道？虽然是网大，但是质量很高，服化道良心，除了女主演技比较垮。动作场面和镜头语言相得益彰，社会矛盾与人性善恶的纠结，这也让人物身上有很多故事值得挖掘。看来续集上院线，确实值得期待。谢苗看来要熬出头了。,40,0,1
走马,2022/6/6 22:55,啥呀这是，你们都是魏君子的朋友吗？,10,10,0
大侦探凤梨,2022/6/12 20:49,起点那么高的谢苗现在沦为只能拍网大，也是挺令人唏嘘的，不过好在他一直在努力、一直没放弃。,40,4,1
大侦探凤梨,2022/6/12 20:49,起点那么高的谢苗现在沦为只能拍网大，也是挺令人唏嘘的，不过好在他一直在努力、一直没放弃。,40,4,1
viennavirus,2022/7/4 16:42,怎么说呢，把那个从剑戟片到新武侠年代的东西几乎是原汁原味地翻出来，简直近乎于一种文化保全。表演略寒碜，但胜在干净利落，无论是节奏还是动作。,40,2,1
毛栗子爱果果,2022/6/28 19:41,“一双错骨手，一把听风刀，一招楼兰斩，是你叫醒了这个瘟神。”,50,10,1
胡桃园咔嚓女王代表老柴咔了你,2022/7/10 13:29,好好看！很难得一个片男主角长的不好看，但是能看下去的，故事说的比较合理， 情节比较简单，但故事说的比较好，表达也很适合，画面镜头也很好看，动作设计有亮点，是当下这些年头十分难得的武侠片了，小成本，但却有点大片感，打光和后期都不错，摄影很好。有一些小缺点，比如开头瞎子在院子里睡了一觉，没有人发现他，丧礼那里有点像非洲的祭祀，救女主的时候，一刀反光那里反光亮了些，结局之前的女杀手的裤子有点像日本的袴（我不知道我们中国有没有这种裤子，但是往时的古装片基本没看到同样式的），总之这些小缺点基本可以忽略，优点是很明显的。在故事情节上，这是个关于侠士扫除黑恶势力的片子(??ω??)?? 。我友人跟我说，男主角是当年新少林五祖里面李连杰的儿子，哇哦，长这么大了。海报做的太丑了，差点因为海报就不看这片,40,1,1
影错强,2022/12/8 0:10,还不错，短短74分钟，倒也拍得干净利落，故事足够简单也不乏味，台词也有点意思，而重点的武打设计挺彪悍也好看也精彩，主角瞎子的抽刀运刀有日本黄金时代的武士风格，看得出导演应该是看过不少，起码像《座头市》这样的经典盲人武士片大概率是看过的，本来日本的武士片与中国的武侠片也算是同样的范畴，所以导演肯定是有糅合武士片与武侠片的特色。谢苗不用说是个好苗子，可惜的是现在已经不红了，而武侠片也是江河日下。其实此片可以拍摄续集，讲一讲瞎子之前的故事，看得出他之前不瞎还是个人物，如果有续集，原班人马我还是想看看的。此片可以与《绣春刀》为伍了。,40,0,1
豆友191263654,2022/6/4 21:21,前几分钟有点那意思，美术摄影不错，动作戏可以再流畅些 到女主哥哥回来开始拉垮了，谢苗表演痕迹太重，演大侠不用使劲儿，松弛克制，说台词也太用力，仿佛在说快看我的下颌线！快看我学的谷子地！女主演的也很套路，电影学院暑假作业的感觉，判官也喊着演，是导演的失控,20,7,0
纳兰风澈,2022/6/8 3:56,"简单的故事,行云流水的动作!",40,4,1
邮差总按两次铃,2022/6/8 1:07,盲剑客的皮，剑戟片的骨，光影也是樱花味儿。这网大真算不错了,40,1,1
搬砖侠,2022/6/4 11:53,纯武侠题材，在网大领域值得肯定，武打动作也算认真，谢苗毕竟有功夫底子，故事简单直接快意恩仇，但还是老问题，滥用美术和特效，角色塑造浮夸，网大通病。,20,0,0
小A,2022/10/5 18:07,飞机上看的。质感有。,30,0,1
深夜的阿斯伯格,2022/7/4 8:20,更像是一个日本幕府的故事,30,1,1
Caraxes,2023/4/22 13:45,在网大体系里绝对算是上乘之作。用李白五言诗篇开头结尾，应短平快的叙事节奏，视听风格很有想法，但也很杂糅，看得出深受act游戏、日本剑戟片之类的影响，盲侠的动作风格也很座头市，期待第二部。,30,0,1
JQ,2022/7/9 4:21,又上当了，无趣的片子，一个人大杀四方眼都不眨（哦，人家是瞎子，确实不用眨眼）干翻几百个，画面不美音乐无感，都2202年了还给我看这种，更可笑的是多瑙评分竟然9.5，呵呵！,20,4,0
楚大刀,2022/6/18 18:12,侠以武乱禁，这是我们呼唤英雄的原因。目中无人，心中有义。就是时长太短，仓促了点。,50,2,1
假迷影真胖叔,2023/2/18 8:08,3.0。1.打戏快速剪辑，有板有眼，酷刑和私刑，有模有样。2.服化道简陋，表演及格以下。3.中国版《疾速追杀》。,30,0,1
孔府小鱼,2022/6/14 21:18,少做少错型的网大，故事体量不大就不拍那么多乱七八糟，也行。,30,1,1
L.C.,2022/11/26 16:46,他为萍水相逢的这个女人单刀赴会，不是因为别的，只是因为心中的侠义二字未死。看完感动又失落，希望她好好活，配得起他拼命换来的一生。PS:一部网大拍成这样太燃了，梦想没有界限。,40,0,1
梅花野老,2022/8/4 14:55,怎么说呢，很简单的一个故事。一个侠客行侠仗义，开挂到处杀人。可是动作场面不知道是不是因为经费，捉襟见肘。我知道男主在装逼，但老觉得他没装够，蜻蜓点水就没了。然后插叙倒叙的故事真没必要，因为没看前面的剧情，中途看肯定会很懵，故事本身就很简单，还不是按照时间线来叙事。,30,0,1
得儿然,2023/2/3 13:09,虽然打戏不多，但是闭眼的打戏是可以加分的,40,0,1
Timing,2022/6/8 23:03,m22108：雪夜窗台，摄影光影很赞。人瞎心不瞎，苦命人互助。故事需再打磨打磨。,30,1,1
影君子,2022/6/6 11:04,名字完美...一语双关  整体说故事逻辑性缺陷明显...但是画面及动作戏确实非常完美   很多构图完全就是可以用来做壁纸...,40,3,1
殷羽sama,2022/6/6 11:59,近来少见的旧式武侠，打戏干净利落，镜头运用漂亮，色调古意盎然，唯一有点出戏的是配乐（吉他是怎么回事怎样也配个琵琶吧？）……不过并不伤大雅。剧情本身有些简单粗暴，就是要给身怀绝技大隐于市的男主找一个战的理由，而除暴安良锄强扶弱路见不平无疑就是最好的理由。官府腐败无法伸张正义，豪门公子恣意杀人强暴，逼得弱民无处寻求公道——这种时候人心就会呼唤大侠的存在。所以，大家理解为啥这故事得放在唐朝，还得是安史之乱之后——了吧—-整体不错，可给四星,40,1,1
开飞机的舒马赫,2022/10/23 14:54,"一双错骨手，一把听风刀，一招楼兰斩，事了拂衣去，深藏功与名
说它是电影，可能并不合适，但是就是爽到了
让我更惊呼的可能这不就是镖人嘛，还有之狼，并不需要太多的合理性，就是把整个高潮都推给你，最后那个谢苗不就是小时候的新少林五祖吗？",30,1,1
超cute侠,2022/6/25 22:31,影像质感上要比普通网大强出一个身位，就是剧本没跟上，所以也没几场文戏，全靠剪辑和动作撑下来，谢苗饰演的捉刀人有日本盲侠的概念，结尾黑夜落雪也是营造出主角眼盲的万籁俱寂感。,30,0,1
理易封,2022/6/9 14:34,剧情是俗之大俗，好在几个动作场面还可以,20,2,0
古始渐中上更全,2022/12/30 14:40,武侠复仇，打戏爽快！场景和打光都漂亮,50,0,1
逗逼男神,2022/6/11 12:53,好久不见的这样快意恩仇的武侠！网大能拍出这样的质感也属实难得！除了特效有些浮夸，整体框架是类似伸冤人和疾速系列一样的复仇动作片。至于为何杀人作恶时瞎子没察觉到，就只能理解为醉酒睡过去了……毕竟细追究约翰威克那么猛还不是被几个小流氓打趴下当面把狗杀了……,40,4,1
huyouyou,2022/6/12 16:14,精悍+精良+精致，古风武侠片，各种武器+弓箭，宇文家设计得更像日本黑手党派，还有一个日式族徽。PS：没想到长大了的谢苗这么丑。#20220612,50,0,1
曼靑,2022/7/16 22:23,开头的「十步杀一人 千里不留行」，对应了结尾的「事了拂衣去 深藏身与名」，导演读懂了李白《侠客行》的浪漫。居然只有74分钟，一气呵成地看完。网络大电影里的难得佳作，运镜台词和服化道算是用心、再加上谢苗一身干净利落的真功夫，一点都不输现在动辄就大制作的武侠片。捉刀人，顾名思义就是江湖人士替州县代缉法外之徒以求悬赏，捉到办事 用命换钱。「目中无人，心有公道。」一身好武艺的捉刀人成瞎子一心为帮酒铺灭门案的酒娘报仇，既是为了答谢她喜宴的一坛美酒之恩、也是为了秉持心中的正义。虽然故事情节简单 但少了些阴谋论的弯弯绕绕、反而看得非常畅快。从当年《新少林五祖》里的小洪文定 到现在的侠客硬汉，谢苗像电影中饰演的捉刀人一样，一直默默地在做自己觉得对的事，他的成稳低调不应该成为他被淹没的理由，期待看到他更多的好电影。,40,0,1
春三十,2022/6/16 18:10,拍得真好啊！别说网大，内地院线电影近年哪有武侠片可看！内核是《长安十二时辰》的悲愤。男女主是瞎子和琴娘吧，倪燕人设是一个单薄的标准武侠药引子。谢苗真好。魏君子单恋港片这么多年，终于完成一部自学成才的电影了。,40,1,1
后素,2022/12/1 22:13,已经很久没有人愿意认真讲好一个简单纯粹的故事了,40,2,1
虚空尽无,2022/6/7 23:56,可圈可点，还可以拍续集，谢苗怎么就发展成武打明星呢,30,1,1
咿呀喂,2022/6/3 21:03,硬伤是本子，能不能有点想象力,30,6,1
半逗,2022/6/13 23:44,服化道、音乐、美术、特效、镜头等等都貌似高级货，可惜仍然无法把烂大街的剧本、漏洞百出的细节包装到更高的层次，加上男主演的不济，整部电影不过是一本地摊上的《如来神掌》。,20,1,0
开膛手贝塔,2022/6/13 23:10,知道自己要什么，你未必能得到。知道自己不要什么，你至少不会失去。,30,1,1
Hushnore,2022/8/2 1:25,网大新标杆,30,0,1
木木三又二,2023/2/27 23:47,放在粗制滥造的网大中算是精品了。在成本有限的条件下做出了院线片的质感，近些年少有的武侠佳片，不愧是魏君子帮忙把控制片的。故事极其简单但讲述方法讨巧，打乱时间线让故事增加悬疑感，让观众有解密的快感，更加吸引人。并且铺垫少，进戏快，节奏也很好，没有一丝拖沓。时长虽然很短，但依然做到了张弛有度。本片最大的优点就是动作场面，套招精彩，打戏力度感十足，尺度够大，而最后一场动作戏最为精彩，编排创意满分，火刀非常帅，最大的惊喜则是战斗结束时舞台化风格的画风，高光+飞雪+黑背景，太美了。给美术组个赞。影片的缺点也十分明显，首先就是主要角色的演员的脸都不适合古装，特别出戏，尤其两位女演员。谢苗的脸和体型也有点太瘦了。最适合古装的竟然是反一号。还有就是劣质的后期配音，听起来非常难受。剧情张力也不够。6.5分。,40,0,1
林不空,2022/8/6 0:33,爱装逼Archer被满怒气的Saber近身瞬秒。说正经的：质感顶级，只在网络上映太可惜了，吉尔拉很惊喜！,40,1,1
壹佰伍拾號,2022/8/2 17:55,盲剑客，类似座头市，但是一些文案镜头很多余，没有明显的风格，不够老练。其实还行，三星，但最近国内没什么好片，这不算不错的了。,40,0,1
寡狗,2022/8/27 15:26,着实惊艳的一部武侠网大，电影质感上虽不能和《绣春刀》相比，但重要的是氛围，氛围有了感觉就有了，就像当年那些布景简陋的TVB武侠剧，我们也看的不亦乐乎，主要还是因为被里面的人物剧情以及营造的江湖侠义氛围所打动，这点美国的西部片日本的剑戟片都有共同点，都是江湖儿女侠义恩仇的主题，这部网大做的相当出色，拳拳到肉颇具痛感的干练凌厉的打斗动作，以及一定水准的剪辑运镜，保证了这部作品的质量，故事本身也比较纯粹好懂，让大部分人都能理解欣赏就是一部网大的成功。,40,0,1
明风,2022/6/25 13:34,好复古的武侠味儿，故事后半略潦草，但是又有什么关系呢，喜欢。,40,0,1
SleepWalker,2023/1/15 17:37,能看，但是体量限制，片长如此，也就自然无法在情节和人物上打磨，运镜、构图营造了尚可的武侠意境，但是台词出来又是破功的，达不到院线水准。,30,1,1
非人类shang,2022/6/10 17:41,武侠感很够，动作虽然还是有些慢动作的无聊，但整体还是流畅犀利的，场景有几处很美，谢苗惊喜了，4星支持一下吧。,40,1,1
烈焰红唇龙,2022/6/7 23:12,必须对网大改观了，有很多前人类型片的影子和脉络，也很粗糙，但看得出用了些心思，无论是镜头语言还是剪辑。赞同热门影评第一的那位，找个好的编剧，拾掇拾掇剧本。不要老是用四十年前邵氏《目无王法》的那套借古讽今～,30,1,1
墨白。,2022/6/3 15:34,就算还可以。虽然剧情一般还多少有点硬扯，但灯光和质感还是喜欢的,30,4,1
Fleurs.哼哼,2022/6/12 21:49,"杀人偿命，只是想要个公道，在这个地方生活了这么多年，才知道这是一个没有王法的地方。就想要个公道!
Ps:谢苗这么多年干啥去了，可以考虑找找徐浩峰",30,1,1
李大米,2022/6/16 15:42,鼓励多一星，说实话令人惊喜，还有人在坚持用心拍武侠，令人感动，真羡慕，去年看到一个蛮喜欢的武侠ip改编动画，跟进了几个月，项目还是因为疫情各种原因搁置了，叹气，我也好想写武侠。,40,2,1
木偶,2023/1/1 14:49,有风格有腔调，简洁凌厉，有大醉侠和座头市的既视感，结尾高潮更像是日本剑客电影。算是完成度极高的网大。,40,0,1
持尘,2023/4/23 20:09,挺好，武侠之快意恩仇,40,0,1
亲爱的猥琐猪,2022/6/16 0:04,感觉可以完全去掉台词，以默剧形式拍，也不影响理解。褒义来看是镜头语言高效传达了，节奏也不错；不足而言是剧情太老套而台词多冗余装深沉。一个想不通的地方是琵琶女的命运，这个人到底只是出来牺牲以加深主角决心吗（男人战斗女人逃，想到《绣春刀》，抱打不平出手相救又想到短片《风雨廊桥》）？反派用箭，较大程度限制了最终战的酣畅淋漓（除非走《箭士柳白猿》那种风格，可以从容演绎弓对枪，这部我倒觉得有些《暴裂无声》的气质）。引用李白《侠客行》起始、收尾有气势的，要是整个背景再拔高一些就更好，不过现在也不错，最近唐山事件正让人们渴求当代的正义侠客，客倒络绎不绝、事不关己旁观，侠已是瞎了。到底是谁“目中无人”？,40,1,1
不脱袜子同学,2022/7/12 14:57,还可以，短小精干，为啥没人找谢苗演戏呢，有点可惜,30,0,1
鲜有废客,2022/6/15 23:22,"3.5分。
谢苗的张涵予化，说不上演技到底多么高超，但的确适合他了，他找到了《集结号》里谷子地的状态，一个为了固执地不断追求某个信念的形象，看着还算过瘾。
不过这片子给人最大的感受，有两点，一个是对香港老派武侠片的复古，江湖与庙堂，草芥与权贵，公道与私利，这些极端二元对立的命题，在这部片子里再次得到重现。另一个则是香港黄金时期动作片里的“尽皆过火，尽是癫狂”的味道，用酒味来辨识方位，用刀刃来擦起火花，将琴弦用作杀人武器，皆是如此。",30,1,1
安蓝·怪伯爵??????,2022/6/23 14:14,觉得还可以更雕琢一下。,30,0,1
白天星,2022/6/8 21:21,傅红雪和座头市结合体,0,3,0
韩先生的电影,2022/6/5 16:19,作为小成本网大，真的还不错，但没得拔高，谢苗的气质和演技确实差了些，最后非要来个“火刀”特效，真的是画蛇添足。,30,2,1
大屿,2022/6/15 4:27,动作戏加一星鼓励。。。大家都说剧情简单，这哪是简单？这剧情 简直是降智，全员人物单薄 太过服务于剧情，潦草，太多地方为了装而装。,30,1,1
麻木粮姜,2022/6/27 13:17,抄袭座头市有意思吗,20,1,0
付玲,2022/6/12 19:36,中南海保镖的儿子就是不一样。,40,1,1
薛同,2022/8/21 23:29,"剧情薄弱，人物刻板，动作中规中矩并未让人耳目一新，女演员集体台词功底弱……

这要是上了院线，不知道能不能包住不破六分，网大反而一众吹捧了。

没懂怎么来的这么高的评分，影评也几乎清一色五星，我这次可能又不合时宜了……",20,1,0
207,2023/2/25 22:20,简单清纯,40,0,1
汤米,2022/6/3 23:31,捉刀人？没有赏金猎人的意思吧，这词儿用的怪怪的。结尾还自己点评事了拂衣去有点傻。拍的挺认真的,30,7,1
滕雅望,2022/6/4 12:07,快意恩仇或一笑泯恩仇,40,3,1
国王KING,2022/7/7 15:31,3.5。有几帧打斗戏挺有美感的。,30,0,1
素衣染天香,2022/7/9 2:37,没法给四星。武侠片来说。合格及以上了。并且在开头赌场以及雨夜围杀那几分钟里。我隐隐看出一些古朴的武侠之意。但故事从倪燕呢开始。。就开始泄气。故事不管从台词还是剧情，都过于满了。编剧着急着发泄那点主题。这还有没有王法了。然后尽力让一个本来可以拍的挺起伏的故事，就这么平缓的滑过去了，如果没有那几场精彩的打戏，真的毫无亮点。但打戏真的好。希望男主接个更有质感点的剧本。,30,0,1
Bluelululu,2023/1/1 16:47,为什么现在没人拍武侠片了呢？明明还是有优秀武打演员，观众也是想看的啊。可能是拍电影的没几个相信侠了，也不理解武。,40,1,1
一实,2022/6/4 14:46,好看！难得！,40,3,1
大纠结师,2023/2/28 23:05,各方面水准都接近小成本电影的top，剧情上最大的硬伤是反派一介弓兵，最后为啥要跑上跟前去哔哔，然后被反杀，经典反派死于话多吗，也太蠢了,40,0,1
?,2022/6/13 10:55,简单的武侠故事，经典的剧情没有加特别复杂内涵但是江湖该有的也有：一个高手瞎子在琴娘的帮助下以悬赏犯人赚赏金，一次任务因为一碗酒替含冤的酿酒女讨公道手刃真凶。画面拍得特别好，看的时候总想到王家卫的风格，如果角色声音都低沉一些可能更好，比如女主角的声音换成张曼玉那种声线会不会感觉更有内涵一些？结局琴娘去世了有点伤感，大家都在夸男主侠义心肠，却无人提明知结局仍为之的琴娘的勇敢。,50,4,1
水寒344,2022/6/21 19:22,好！,50,2,1
唐伯虎点蚊香,2023/2/22 18:14,谢苗怎么就是火不起来呢,50,5,1
地铁里的季风,2022/6/26 17:03,故事线就简单地一根，帮助女人的动机稍微弱了点，画面，服化道在网大里算还可以,30,0,1
Rex,2022/6/4 8:05,虽为网络电影，但武打部分却是近年最佳之一。剧本稍显稚嫩，剧情进展也有过于潦草的地方，但许多场景质感相当精良，也可以看出剧组很用心了,30,5,1
null,2023/4/12 18:44,拍得挺粗暴硬朗的，就是道具上再考究一些就更好了。,30,0,1
羽夜祭,2022/7/13 23:22,摄影很好，有用心做画面设计。故事比较简单。,30,0,1
孤狼,2022/7/9 11:27,总归干净利落吧,30,0,1
花渡,2022/6/19 22:10,一语双关的片名在打出的瞬间就将影片的形与魂直接苍劲绘出。导演的这种心思与美术功底注定了这片子不会差，不过粗糙简单的故事底子使得影片有些像证明自己能力的学生作品。不用故事征艳，而是用审美、技法、配乐、调度来向资本与观众证明自己不俗的实力。杨秉佳也确实做到了。继徐浩峰之后国产能够让人眼前一亮的兵器打斗，杂糅进John Wick式流畅杀戮搭配上黑白色调的写意背景，让观众着实酣畅淋漓。急促鼓点也让影片的质感上升了一个台阶，希望爱奇艺能够多多营销这部影片吧。,40,2,1
一天,2022/6/13 15:21,故事有点老套了，但是制作很棒，动作场面也很舒服有创意，这个捉刀人…悬赏令…BGM是在致敬老牛仔吗？,30,1,1
猫小珥,2022/6/7 0:14,瑕疵当然还有许多瑕疵 但是近年来这种简单干脆的故事已经不多了 这本是华语武侠电影的方向 直接 纯粹 却夹杂了太多桎梏 没有了资本的束缚 反而可以空手一搏 谢苗本是童星出道 原本和释小龙是有望接班国内动作明星位置的 可是时运不济 一直没能再次出圈挤入一线 不知道该说是资源不好还是运气不佳 但愿未来能有所转机,30,0,1
pksky,2022/11/26 19:34,演员、动作、剧情、配乐、画面都在线，即便作为院线片也很不错，制作上乘的网剧…虽然有座头市的痕迹，尤其那段萨满舞咋看咋像东瀛风…琴娘挺不错…,40,0,1
魁建国?,2022/6/3 16:39,之前看过杨秉佳编剧的东北警察故事，这次看了他自编自导的目中无人，感觉并没有失望。他的风格蛮有些古早香港武打电影的风范，武打动作很流畅，画面也颇有大制作的风范。从头到尾都是咣咣咣地打，像超英片一样打得很爽。,50,10,1
温岭阿浪,2022/6/3 12:55,"就只想看一部让人热血沸腾的爽片，这部电影正好满足我的期待。
童星出生的谢苗，演技和武打功底都非常扎实。以盲侠为主角的电影近年来还是比较少见的，我挺喜欢这种给人设做减法的主角，他们的弱项反倒成为影片中的看点。
本片服化道比较精致，打戏也很丰富，个人比较喜欢雪中的那场械斗，既刺激又充满美感。",40,8,1
Galore,2022/6/3 12:56,很久没有看过武侠动作片了，颇有之前大手笔古装电影的精良制作与细节。故事简单紧凑，矛盾冲突围绕“公道”展开，多线背景并行却不混乱，侠义的表现也很热血，服化道、场景、调色都十分耐看，雪景和雨景两场打戏作为一部网络电影可圈可点，过瘾！,40,5,1
十年一觉,2022/6/11 16:42,质感不错，故事和人物稍显单薄,30,0,1
春山,2022/8/15 20:54,很酷，打戏好看的。有点《双旗镇刀客》+《东邪西毒》,30,0,1
xiangkaiad,2022/6/13 17:26,风格、语言、色彩、动作一气呵成，虽有瑕疵，但瑕不掩瑜，毕竟资源有限，据说500万。别说5个亿，估计5000万即可封神！加油！谢苗！江湖气质不差！看好你！,40,1,1
1w.,2022/6/18 2:12,没什么剧情 但是打的挺爽。,30,0,1
闭卷考试,2022/6/18 23:09,意犹未尽,40,2,1
大頭皮鞋,2022/6/27 6:05,无需宏大叙事，节奏把握得不错的武侠，义薄云天的侠义之心,40,1,1
乔大路,2022/7/29 16:28,超出预期，低成本就巧用灯光布景，故事粗糙就用小手段拓展分支，打斗填补粗劣，导演在制作上很有想法，值得鼓励。,40,0,1
土卫六,2022/6/27 22:44,故事简单了点，但是贵在打斗精彩，行云流水，一气呵成！,40,0,1
椒王爷,2023/4/17 18:50,动作戏相当用心，细节到位。《疾速追杀》一样的剧情，快意恩仇，干脆利落。摄影和海报不错。,30,0,1
小小斌,2022/6/11 23:06,动作戏真多不错，故事比较简单。,30,0,1
井上多罗,2022/11/19 23:16,剧本是真的粗糙啊。。。。。但是拍的的确不错，有些拳拳到肉的感觉.。,30,0,1
另外一位同志,2023/1/17 21:43,"套路，但有用。

琴娘死的可惜。

动作戏是限于预算吗？打的还是不过瘾，但反而有一种古龙式的美和余韵，尤其最后一场大战，漫天飞雪好杀人。

我希望的结局:宇文英身上插13把剑，放到船上，顺水漂，全城百姓都看。他怎么对待琴娘，瞎子也怎么对待他。

看完之后想看《座头市》。",40,4,1
浩哥有料,2022/7/17 11:55,只能说，不过如此，算不上粗制滥造，但也才刚刚及格。女演员们的网红脸太出戏啦,30,0,1
隐,2022/6/3 18:41,中小成本的武侠片，高潮戏用心发力，动作和舞台式的布景设计让人眼前一亮。上次觉得还算不错的武侠片已经是绣春刀了。,40,4,1
霾桑 等108个人,2022/9/4 21:40,不错。一个人对抗一个庞大势力。深得古龙小说的奥义。这个势力够恶、够狠，主角复仇也狠。人物前史睢阳战场、凉州风情、服化等等，跟唐中期背景也都能很轻巧地有机结合。须生扮相适合谢苗。,40,0,1
西北有高楼,2022/6/11 21:44,堪称自徐浩峰新作被雪藏以来难得的武侠佳作。,40,1,1
源源源源源er.,2022/6/19 17:33,这才是真正在演戏的汉子吧，哪怕演得是个瞎子也能看出其英勇狭义的一面，真的帅死！！侠之大者，为国为民，除暴安良，演员谢苗打斗场景全部都是亲身上阵，功夫也是毫不掺假。虽然武侠片终究还是不可能回到它们的巅峰时代，但是至少可以看出导演与演员在这部影片中的诚意，故事脉络并不复杂，但还是令人看得热血又感动，震撼又矛盾。毕竟，打斗不是为了装酷的花拳绣腿，剧情也不掺杂傻白甜的爱情故事，可以看出整个故事充满了狭义与道义，责任与无畏的深思。故事里，有这样一双错骨手，亦有那样一把听风刀，有如此一招楼兰斩，亦有这般一颗侠义心！,40,1,1
伍肆伍,2022/6/14 17:24,中华爱马瞎士单刀尽屠一个黑帮，简单快进的人物互动，人间不太平，以武犯太岁的那味，联系三日前之唐山，男儿当如此，不惭世上英。还我狗命都4了，续集可以安排一下。,40,0,1
日出Sunrise,2022/6/6 11:03,不错，比雪中悍刀行好看,30,0,1
frontboy,2022/6/17 23:55,取景和调色不错，后期剪辑过关，但是故事简单漏洞太多，也有矫揉造作的情节，作为网大及格。,30,0,1
小江湖骗子林羽竹,2022/12/20 19:32,很干脆利落，充满勇气的74分钟片长，简洁的故事，香港武术班子的正常发挥，唐朝武侠版《john wick》《座头市》。缺点还是剧本稍微差了一些，台词不太行，以及剧组是真没啥钱。以网大标准而言绝对是佳作了，适合当爽片消遣。,40,0,1
