日期,最高温度,最低温度,天气,风向
2019-04-28 周日,28°,23°,雷阵雨,东南风3级
2019-04-29 周一,30°,23°,阵雨~小雨,东南风3级
2019-04-30 周二,27°,21°,大雨~中雨,西南风3级
2019-05-01 周三,28°,19°,阴~多云,东北风3级
2019-05-02 周四,27°,20°,多云,东北风2级
2019-05-03 周五,26°,20°,阴~多云,东南风2级
2019-05-04 周六,26°,20°,阵雨~中雨,东南风2级
2019-05-05 周日,22°,19°,大雨,东北风2级
2019-05-06 周一,23°,19°,大雨~雷阵雨,东北风2级
2019-05-07 周二,23°,19°,小雨~中雨,东北风2级
2019-05-08 周三,20°,19°,大雨~中雨,东北风2级
2019-05-09 周四,24°,20°,阴~多云,东北风2级
2019-05-10 周五,29°,21°,多云,东北风2级
2019-05-11 周六,30°,22°,阴~多云,西南风2级
2019-05-12 周日,31°,24°,多云,东南风3级
2019-05-13 周一,33°,24°,多云,东南风2级
2019-05-14 周二,32°,25°,阴,东南风3级
2019-05-15 周三,32°,25°,雷阵雨~多云,西南风3级
2019-05-16 周四,32°,25°,雷阵雨,西南风3级
2019-05-17 周五,33°,26°,雷阵雨,西南风3级
2019-05-18 周六,33°,26°,雷阵雨~阴,西南风3级
2019-05-19 周日,33°,22°,中雨~雷阵雨,东南风3级
2019-05-20 周一,30°,23°,雷阵雨,西北风3级
2019-05-21 周二,31°,23°,雷阵雨,东南风2级
2019-05-22 周三,29°,24°,中雨~雷阵雨,东南风2级
2019-05-23 周四,29°,23°,雷阵雨~中雨,东南风2级
2019-05-24 周五,28°,24°,雷阵雨,东南风3级
2019-05-25 周六,30°,25°,雷阵雨,东南风3级
2019-05-26 周日,29°,24°,中雨,东南风3级
2019-05-27 周一,30°,25°,中雨,东南风3级
2019-05-28 周二,27°,23°,中雨~大雨,东南风2级
2019-05-29 周三,28°,24°,中到大雨~中雨,东北风2级
2019-05-30 周四,28°,23°,中雨~雷阵雨,东南风3级
2019-05-31 周五,28°,23°,中雨~雷阵雨,东南风2级
2019-06-01 周六,31°,25°,大雨~中雨,西南风2级
2019-06-02 周日,29°,24°,大雨~中雨,西南风3级
2019-06-03 周一,30°,25°,雷阵雨,西南风2级
2019-06-04 周二,32°,26°,雷阵雨~多云,西南风3级
2019-06-05 周三,32°,26°,雷阵雨,东南风3级
2019-06-06 周四,35°,26°,雷阵雨~多云,西南风3级
2019-06-07 周五,35°,26°,雷阵雨~多云,西南风3级
2019-06-08 周六,34°,28°,雷阵雨~多云,西南风3级
2019-06-09 周日,34°,26°,雷阵雨,西南风3级
2019-06-10 周一,32°,24°,中雨~大雨,西南风3级
2019-06-11 周二,28°,25°,大雨~雷阵雨,西南风2级
2019-06-12 周三,29°,25°,雷阵雨~大雨,东南风1级
2019-06-13 周四,29°,25°,大雨,西南风2级
2019-06-14 周五,32°,24°,多云,东北风3级
2019-06-15 周六,34°,24°,多云~中雨,东南风2级
2019-06-16 周日,29°,25°,雷阵雨,东南风3级
2019-06-17 周一,33°,25°,多云,东南风3级
2019-06-18 周二,32°,26°,中雨,东南风3级
2019-06-19 周三,33°,26°,雷阵雨~多云,东南风3级
2019-06-20 周四,34°,28°,雷阵雨~多云,西南风3级
2019-06-21 周五,35°,27°,雷阵雨~多云,西南风3级
2019-06-22 周六,35°,27°,中雨~多云,西南风3级
2019-06-23 周日,34°,27°,雷阵雨~中雨,西南风3级
2019-06-24 周一,31°,25°,大雨,西南风2级
2019-06-25 周二,30°,24°,中雨,西南风2级
2019-06-26 周三,32°,26°,雷阵雨,西南风2级
2019-06-27 周四,32°,26°,雷阵雨,东南风3级
2019-06-28 周五,33°,27°,雷阵雨,东南风3级
2019-06-29 周六,32°,26°,多云,东南风3级
2019-06-30 周日,35°,27°,雷阵雨,东南风2级
2019-07-01 周一,33°,27°,雷阵雨,东南风3级
2019-07-02 周二,34°,25°,雷阵雨~中雨,东南风3级
2019-07-03 周三,30°,25°,中雨~雷阵雨,东南风3级
2019-07-04 周四,33°,26°,雷阵雨~多云,东南风3级
2019-07-05 周五,33°,27°,雷阵雨~多云,西南风3级
2019-07-06 周六,34°,27°,多云~雷阵雨,西南风3级
2019-07-07 周日,34°,27°,多云,西南风3级
2019-07-08 周一,34°,27°,雷阵雨,西南风3级
2019-07-09 周二,34°,26°,雷阵雨~大雨,西南风3级
2019-07-10 周三,30°,25°,中雨~雷阵雨,西南风2级
2019-07-11 周四,31°,25°,雷阵雨,东南风2级
2019-07-12 周五,34°,25°,多云,西南风3级
2019-07-13 周六,34°,27°,雷阵雨,西南风3级
2019-07-14 周日,34°,27°,雷阵雨,西南风3级
2019-07-15 周一,34°,26°,雷阵雨,东南风3级
2019-07-16 周二,35°,27°,晴,南风2级
2019-07-17 周三,36°,27°,多云,西北风2级
2019-07-18 周四,37°,27°,雷阵雨,西北风2级
2019-07-19 周五,36°,26°,雷阵雨,西南风2级
2019-07-20 周六,34°,26°,雷阵雨,西南风3级
2019-07-21 周日,34°,26°,雷阵雨,西南风3级
2019-07-22 周一,34°,25°,中雨~雷阵雨,西南风3级
2019-07-23 周二,32°,25°,雷阵雨,东南风3级
2019-07-24 周三,33°,26°,雷阵雨~多云,东南风3级
2019-07-25 周四,35°,27°,雷阵雨,东南风3级
2019-07-26 周五,35°,27°,多云,西南风3级
2019-07-27 周六,35°,27°,雷阵雨~多云,西南风3级
2019-07-28 周日,35°,26°,雷阵雨,东南风3级
2019-07-29 周一,33°,26°,中雨~雷阵雨,东南风3级
2019-07-30 周二,31°,25°,雷阵雨,东北风3级
2019-07-31 周三,31°,24°,大雨,东北风4级
2019-08-01 周四,29°,24°,中雨~雷阵雨,东南风4级
2019-08-02 周五,29°,25°,中雨~雷阵雨,东南风4级
2019-08-03 周六,30°,25°,中雨~雷阵雨,东风3级
2019-08-04 周日,31°,24°,雷阵雨~多云,东北风2级
2019-08-05 周一,34°,26°,多云,东南风2级
2019-08-06 周二,35°,26°,晴~多云,南风2级
2019-08-07 周三,35°,27°,雷阵雨~多云,西南风2级
2019-08-08 周四,35°,26°,雷阵雨,东北风2级
2019-08-09 周五,35°,27°,雷阵雨,西北风3级
2019-08-10 周六,35°,27°,雷阵雨,西南风3级
2019-08-11 周日,34°,26°,雷阵雨,西南风3级
2019-08-12 周一,33°,27°,中雨~雷阵雨,西南风2级
2019-08-13 周二,35°,25°,雷阵雨,西南风2级
2019-08-14 周三,34°,26°,雷阵雨,西北风2级
2019-08-15 周四,35°,26°,雷阵雨,西南风2级
2019-08-16 周五,33°,25°,中雨~雷阵雨,西南风2级
2019-08-17 周六,32°,25°,大雨~雷阵雨,西南风2级
2019-08-18 周日,32°,24°,大雨~雷阵雨,西南风2级
2019-08-19 周一,31°,25°,中雨~雷阵雨,东北风2级
2019-08-20 周二,34°,26°,雷阵雨,东南风2级
2019-08-21 周三,34°,26°,雷阵雨,东南风2级
2019-08-22 周四,34°,26°,雷阵雨~多云,东南风2级
2019-08-23 周五,34°,26°,多云,东南风2级
2019-08-24 周六,36°,26°,多云~雷阵雨,西北风3级
2019-08-25 周日,32°,25°,中雨,西南风4级
2019-08-26 周一,33°,27°,中雨~雷阵雨,西南风2级
2019-08-27 周二,33°,26°,雷阵雨~多云,东南风3级
2019-08-28 周三,36°,26°,多云,东北风2级
2019-08-29 周四,33°,25°,雷阵雨,东南风3级
2019-08-30 周五,31°,26°,中雨~雷阵雨,东南风2级
2019-08-31 周六,32°,26°,中到大雨~雷阵雨,东北风2级
2019-09-01 周日,31°,26°,中雨~雷阵雨,东北风3级
2019-09-02 周一,32°,25°,中雨~雷阵雨,东北风3级
2019-09-03 周二,32°,24°,雷阵雨~中雨,东北风3级
2019-09-04 周三,31°,25°,雷阵雨~中到大雨,东北风3级
2019-09-05 周四,30°,24°,中雨~阴,东北风3级
2019-09-06 周五,33°,26°,雷阵雨~多云,东北风2级
2019-09-07 周六,34°,26°,多云,东北风2级
2019-09-08 周日,35°,26°,晴~多云,东南风2级
2019-09-09 周一,34°,26°,雷阵雨~多云,东南风2级
2019-09-10 周二,34°,26°,雷阵雨~多云,东南风3级
2019-09-11 周三,35°,27°,多云,东南风2级
2019-09-12 周四,35°,27°,多云,东南风2级
2019-09-13 周五,35°,26°,多云,西南风2级
2019-09-14 周六,35°,27°,多云,西南风2级
2019-09-15 周日,33°,25°,雷阵雨,东南风2级
2019-09-16 周一,33°,25°,雷阵雨,东北风2级
2019-09-17 周二,33°,25°,多云,东北风2级
2019-09-18 周三,34°,25°,多云,东北风3级
2019-09-19 周四,33°,24°,晴,东北风3级
2019-09-20 周五,32°,23°,晴,东北风3级
2019-09-21 周六,31°,22°,晴,西北风3级
2019-09-22 周日,31°,20°,晴,东北风4级
2019-09-23 周一,31°,21°,晴~多云,东北风3级
2019-09-24 周二,32°,21°,晴,东北风2级
2019-09-25 周三,32°,21°,晴,东北风2级
2019-09-26 周四,32°,22°,晴,东北风2级
2019-09-27 周五,33°,22°,晴,东北风2级
2019-09-28 周六,33°,23°,多云,东北风2级
2019-09-29 周日,34°,22°,晴,东北风2级
2019-09-30 周一,35°,22°,晴~多云,西北风2级
2019-10-01 周二,34°,23°,晴,西北风2级
2019-10-02 周三,34°,24°,晴,西南风2级
2019-10-03 周四,34°,25°,晴,东南风2级
2019-10-04 周五,34°,24°,晴,东南风2级
2019-10-05 周六,34°,25°,晴~多云,东南风2级
2019-10-06 周日,31°,24°,雷阵雨,东南风3级
2019-10-07 周一,30°,23°,阴~多云,东北风2级
2019-10-08 周二,33°,24°,多云,东北风2级
2019-10-09 周三,32°,24°,多云,东南风2级
2019-10-10 周四,32°,23°,雷阵雨~多云,西南风2级
2019-10-11 周五,34°,23°,晴,西南风2级
2019-10-12 周六,32°,23°,小雨~雷阵雨,东北风2级
2019-10-13 周日,30°,23°,雷阵雨,东北风2级
2019-10-14 周一,29°,22°,多云,东北风3级
2019-10-15 周二,30°,20°,多云,东北风3级
2019-10-16 周三,30°,22°,多云~晴,东北风3级
2019-10-17 周四,29°,19°,晴,东北风3级
2019-10-18 周五,29°,19°,晴,东北风3级
2019-10-19 周六,30°,21°,晴,东北风3级
2019-10-20 周日,30°,20°,晴,东北风2级
2019-10-21 周一,31°,21°,多云,东北风2级
2019-10-22 周二,28°,19°,多云~晴,东南风2级
2019-10-23 周三,29°,21°,阵雨~小雨,东北风2级
2019-10-24 周四,29°,22°,多云,东北风2级
2019-10-25 周五,30°,21°,阴,东北风2级
2019-10-26 周六,28°,20°,多云,东北风3级
2019-10-27 周日,30°,21°,多云,东北风2级
2019-10-28 周一,26°,19°,多云,西北风3级
2019-10-29 周二,27°,16°,晴,东北风3级
2019-10-30 周三,28°,17°,晴~多云,东北风3级
2019-10-31 周四,27°,19°,多云,东北风2级
2019-11-01 周五,28°,19°,多云,东北风2级
2019-11-02 周六,30°,21°,多云,东北风2级
2019-11-03 周日,29°,20°,多云~晴,东北风3级
2019-11-04 周一,29°,18°,晴,东北风4级
2019-11-05 周二,28°,17°,晴,东北风3级
2019-11-06 周三,29°,17°,晴,东北风2级
2019-11-07 周四,27°,17°,多云,东北风3级
2019-11-08 周五,26°,16°,多云,东北风3级
2019-11-09 周六,26°,15°,晴,东北风2级
2019-11-10 周日,27°,17°,晴,东北风2级
2019-11-11 周一,28°,18°,多云~晴,东南风2级
2019-11-12 周二,28°,18°,多云,东南风2级
2019-11-13 周三,28°,15°,多云,东北风3级
2019-11-14 周四,25°,15°,多云,东北风3级
2019-11-15 周五,27°,14°,晴,东南风2级
2019-11-16 周六,27°,18°,晴,东南风2级
2019-11-17 周日,28°,16°,晴,东南风2级
2019-11-18 周一,23°,12°,多云,东北风3级
2019-11-19 周二,22°,13°,晴,东北风3级
2019-11-20 周三,25°,15°,多云,东北风3级
2019-11-21 周四,26°,15°,晴,东北风2级
2019-11-22 周五,26°,16°,晴,东北风2级
2019-11-23 周六,27°,18°,晴,东南风1级
2019-11-24 周日,29°,17°,晴,东北风2级
2019-11-25 周一,26°,15°,晴~多云,东北风3级
2019-11-26 周二,24°,16°,多云,东北风2级
2019-11-27 周三,25°,13°,多云,东北风3级
2019-11-28 周四,22°,12°,多云,东北风4级
2019-11-29 周五,22°,12°,晴,东北风3级
2019-11-30 周六,24°,14°,晴,东北风2级
2019-12-01 周日,24°,11°,晴~多云,东北风3级
2019-12-02 周一,21°,10°,晴,东北风4级
2019-12-03 周二,20°,9°,多云,东北风3级
2019-12-04 周三,21°,10°,多云~阴,东北风3级
2019-12-05 周四,18°,10°,阴~多云,东北风3级
2019-12-06 周五,20°,8°,晴,东北风4级
2019-12-07 周六,20°,7°,多云,东北风4级
2019-12-08 周日,20°,7°,多云,东北风2级
2019-12-09 周一,21°,9°,多云~晴,东北风2级
2019-12-10 周二,23°,8°,晴,西北风1级
2019-12-11 周三,23°,10°,晴,东北风2级
2019-12-12 周四,24°,11°,晴~多云,东南风2级
2019-12-13 周五,25°,13°,晴,东南风1级
2019-12-14 周六,26°,14°,晴,东南风1级
2019-12-15 周日,26°,16°,多云,东南风2级
2019-12-16 周一,26°,17°,多云,东南风2级
2019-12-17 周二,27°,18°,多云,东南风2级
2019-12-18 周三,27°,13°,多云~小雨,东北风2级
2019-12-19 周四,20°,12°,阴~多云,西北风3级
2019-12-20 周五,19°,16°,多云~阴,东北风2级
2019-12-21 周六,19°,13°,多云,东北风2级
2019-12-22 周日,22°,14°,多云,西北风2级
2019-12-23 周一,24°,15°,多云,东北风1级
2019-12-24 周二,24°,16°,小雨~多云,东北风2级
2019-12-25 周三,22°,15°,多云~晴,东北风1级
2019-12-26 周四,21°,10°,多云,东北风3级
2019-12-27 周五,20°,10°,多云,东北风3级
2019-12-28 周六,21°,14°,多云,东北风2级
2019-12-29 周日,24°,16°,阴,东南风1级
2019-12-30 周一,26°,15°,阴~多云,东北风1级
2019-12-31 周二,23°,13°,多云,东北风3级
2020-01-01 周三,20°,13°,多云~晴,东北风2级
2020-01-02 周四,22°,15°,阴,东南风1级
2020-01-03 周五,25°,14°,多云,东南风1级
2020-01-04 周六,26°,15°,阴~多云,东南风2级
2020-01-05 周日,24°,17°,多云,东南风2级
2020-01-06 周一,25°,19°,阴,东南风2级
2020-01-07 周二,27°,15°,阴~多云,东南风1级
2020-01-08 周三,27°,16°,多云~小雨,东北风2级
2020-01-09 周四,23°,17°,阴~多云,东南风2级
2020-01-10 周五,25°,17°,多云,东南风2级
2020-01-11 周六,23°,11°,阴~小雨,西北风2级
2020-01-12 周日,18°,11°,阴~多云,西北风3级
2020-01-13 周一,20°,13°,多云,东北风2级
2020-01-14 周二,21°,13°,多云,东北风2级
2020-01-15 周三,25°,16°,多云~小雨,东南风2级
2020-01-16 周四,23°,11°,阴~多云,东北风3级
2020-01-17 周五,17°,12°,阴~多云,西北风3级
2020-01-18 周六,17°,12°,阴~小雨,东北风2级
2020-01-19 周日,13°,13°,阴~多云,东北风2级
2020-01-20 周一,18°,14°,多云,东北风2级
2020-01-21 周二,22°,16°,阴~多云,东南风2级
2020-01-22 周三,25°,18°,多云,东南风2级
2020-01-23 周四,28°,19°,多云,东南风2级
2020-01-24 周五,25°,16°,阴~小雨,东南风1级
2020-01-25 周六,20°,10°,阴~大雨,东北风3级
2020-01-26 周日,12°,8°,中雨~多云,西北风3级
2020-01-27 周一,14°,8°,多云,西北风4级
2020-01-28 周二,15°,8°,阴~多云,东北风3级
2020-01-29 周三,16°,9°,多云~晴,东北风3级
2020-01-30 周四,19°,6°,晴,东北风3级
2020-01-31 周五,20°,8°,多云~晴,东北风2级
2020-02-01 周六,20°,12°,多云,东北风2级
2020-02-02 周日,18°,14°,阴,东南风2级
2020-02-03 周一,16°,11°,阴~小雨,东北风2级
2020-02-04 周二,16°,13°,阴,东北风2级
2020-02-05 周三,17°,14°,阴,东北风1级
2020-02-06 周四,19°,14°,阴~小雨,东南风2级
2020-02-07 周五,18°,11°,小雨~多云,东北风2级
2020-02-08 周六,18°,10°,阴~多云,东北风3级
2020-02-09 周日,17°,12°,多云,东北风3级
2020-02-10 周一,16°,14°,多云~小雨,东北风2级
2020-02-11 周二,18°,16°,阴,东南风1级
2020-02-12 周三,21°,17°,阴~中雨,东南风2级
2020-02-13 周四,23°,17°,中雨,东南风2级
2020-02-14 周五,22°,17°,小雨~中雨,东南风3级
2020-02-15 周六,20°,7°,大雨~小雨,东南风4级
2020-02-16 周日,10°,6°,阴~多云,西北风4级
2020-02-17 周一,16°,5°,多云~晴,东北风4级
2020-02-18 周二,19°,7°,晴~多云,东北风2级
2020-02-19 周三,21°,10°,多云,东南风1级
2020-02-20 周四,23°,14°,多云,东南风1级
2020-02-21 周五,25°,14°,多云,东南风1级
2020-02-22 周六,27°,15°,多云~晴,东北风2级
2020-02-23 周日,28°,16°,多云,东南风2级
2020-02-24 周一,25°,17°,阴,东南风3级
2020-02-25 周二,27°,18°,多云,东南风1级
2020-02-26 周三,29°,19°,阴~多云,东南风1级
2020-02-27 周四,26°,17°,阴~多云,东南风3级
2020-02-28 周五,23°,18°,阴~多云,东南风2级
2020-02-29 周六,27°,18°,阴~多云,东南风2级
2020-03-01 周日,28°,17°,阴~多云,东北风2级
2020-03-02 周一,22°,18°,阴~多云,东北风3级
2020-03-03 周二,22°,17°,阴~中雨,东南风3级
2020-03-04 周三,18°,13°,中雨~小雨,东北风3级
2020-03-05 周四,19°,16°,阴~阵雨,东北风2级
2020-03-06 周五,21°,19°,阴~阵雨,东南风2级
2020-03-07 周六,21°,20°,阴~阵雨,东南风3级
2020-03-08 周日,24°,21°,阴~小雨,东南风3级
2020-03-09 周一,24°,17°,小雨~阵雨,东南风3级
2020-03-10 周二,23°,15°,多云,东北风4级
2020-03-11 周三,19°,17°,多云~阵雨,东北风2级
2020-03-12 周四,21°,19°,阴,东南风3级
2020-03-13 周五,25°,17°,阴~小雨,东南风2级
2020-03-14 周六,25°,14°,阴~多云,东北风4级
2020-03-15 周日,23°,17°,多云,东北风2级
2020-03-16 周一,25°,19°,阴~多云,东南风2级
2020-03-17 周二,22°,18°,阴~小雨,东南风2级
2020-03-18 周三,21°,19°,中雨,东南风2级
2020-03-19 周四,20°,19°,大雨~阵雨,东南风2级
2020-03-20 周五,21°,20°,小雨~阴,东南风2级
2020-03-21 周六,25°,21°,阴~阵雨,东南风3级
2020-03-22 周日,29°,21°,雾~多云,东南风2级
2020-03-23 周一,29°,21°,阴~多云,东南风2级
2020-03-24 周二,28°,22°,阴~雷阵雨,东南风3级
2020-03-25 周三,28°,21°,阴~雷阵雨,东南风3级
2020-03-26 周四,27°,21°,小雨~雷阵雨,东南风3级
2020-03-27 周五,27°,16°,阴~大雨,东南风3级
2020-03-28 周六,21°,17°,阴~阵雨,东北风3级
2020-03-29 周日,19°,18°,阴~雷阵雨,东南风3级
2020-03-30 周一,14°,14°,小雨,东北风2级
2020-03-31 周二,15°,14°,小雨~阵雨,东北风2级
2020-04-01 周三,17°,16°,中雨~雷阵雨,东北风2级
2020-04-02 周四,19°,17°,阵雨~雷阵雨,东北风2级
2020-04-03 周五,23°,18°,雷阵雨~中雨,东北风2级
2020-04-04 周六,21°,17°,中雨,东北风3级
2020-04-05 周日,18°,15°,中雨~大雨,东北风2级
2020-04-06 周一,18°,16°,大雨~阵雨,东北风2级
2020-04-07 周二,21°,15°,阴~多云,东北风2级
2020-04-08 周三,25°,18°,阴~多云,西南风2级
2020-04-09 周四,28°,17°,多云,东南风1级
2020-04-10 周五,27°,18°,多云,东南风3级
2020-04-11 周六,24°,15°,阴~阵雨,西南风3级
2020-04-12 周日,23°,12°,小雨~晴,东北风4级
2020-04-13 周一,24°,15°,多云,东北风3级
2020-04-14 周二,22°,14°,阴~多云,西南风1级
2020-04-15 周三,27°,16°,阴~多云,西南风2级
2020-04-16 周四,28°,18°,阴~多云,东南风3级
2020-04-17 周五,28°,20°,阴~多云,东南风2级
2020-04-18 周六,27°,22°,阴~多云,东南风3级
2020-04-19 周日,30°,22°,多云,东南风2级
2020-04-20 周一,31°,23°,阴~多云,南风3级
2020-04-21 周二,29°,20°,阴~雷阵雨,东南风3级
2020-04-22 周三,20°,17°,中雨~小雨,东北风2级
2020-04-23 周四,19°,14°,小雨,东北风3级
2020-04-24 周五,18°,15°,小雨~阵雨,东北风3级
2020-04-25 周六,24°,17°,阴~阵雨,西北风2级
2020-04-26 周日,27°,18°,阴~多云,西北风2级
2020-04-27 周一,30°,18°,阴~晴,东北风2级
2020-04-28 周二,31°,21°,多云,东南风2级
2020-04-29 周三,30°,21°,多云,东南风2级
2020-04-30 周四,31°,22°,多云,东南风2级
2020-05-01 周五,30°,23°,多云,南风3级
2020-05-02 周六,31°,23°,多云~晴,南风3级
2020-05-03 周日,34°,24°,多云~晴,西南风2级
2020-05-04 周一,34°,26°,多云~晴,西南风3级
2020-05-05 周二,34°,26°,多云~晴,西南风3级
2020-05-06 周三,34°,27°,多云,南风3级
2020-05-07 周四,32°,27°,多云,南风3级
2020-05-08 周五,32°,28°,阴~多云,南风3级
2020-05-09 周六,32°,27°,阴~多云,南风3级
2020-05-10 周日,32°,25°,大雨~雷阵雨,西南风2级
2020-05-11 周一,32°,24°,小雨~中雨,东北风2级
2020-05-12 周二,30°,25°,阴~多云,东北风2级
2020-05-13 周三,31°,25°,小雨~多云,东南风3级
2020-05-14 周四,30°,25°,小雨~雷阵雨,东南风3级
2020-05-15 周五,32°,26°,小雨~雷阵雨,东南风3级
2020-05-16 周六,32°,26°,阴~雷阵雨,南风2级
2020-05-17 周日,32°,23°,阴~大雨,西南风2级
2020-05-18 周一,30°,23°,阴~雷阵雨,西南风2级
2020-05-19 周二,32°,24°,阴~雷阵雨,东南风2级
2020-05-20 周三,30°,24°,小雨~大雨,东南风3级
2020-05-21 周四,30°,24°,小雨~大雨,南风3级
2020-05-22 周五,28°,24°,中雨~阵雨,西北风3级
2020-05-23 周六,29°,25°,小雨~多云,东北风2级
2020-05-24 周日,29°,24°,阴~阵雨,东南风2级
2020-05-25 周一,29°,24°,小雨~大雨,东南风3级
2020-05-26 周二,33°,26°,小雨~多云,西北风2级
2020-05-27 周三,27°,26°,小雨~雷阵雨,东北风2级
2020-05-28 周四,30°,25°,阴~雷阵雨,东北风2级
2020-05-29 周五,31°,26°,中雨,东南风3级
2020-05-30 周六,30°,26°,中雨~雷阵雨,南风3级
2020-05-31 周日,31°,25°,大雨~中雨,南风2级
2020-06-01 周一,31°,25°,中雨~雷阵雨,南风2级
2020-06-02 周二,28°,25°,小雨~雷阵雨,南风3级
2020-06-03 周三,31°,26°,大雨~雷阵雨,西南风3级
2020-06-04 周四,32°,25°,中雨~雷阵雨,西南风3级
2020-06-05 周五,33°,24°,阴~暴雨,西南风3级
2020-06-06 周六,28°,25°,中雨~暴雨,西南风3级
2020-06-07 周日,26°,25°,中雨~暴雨,东南风3级
2020-06-08 周一,27°,25°,中雨~大雨,东南风3级
2020-06-09 周二,29°,26°,中雨~雷阵雨,南风3级
2020-06-10 周三,33°,25°,中雨~雷阵雨,西南风2级
2020-06-11 周四,34°,26°,阴~多云,南风3级
2020-06-12 周五,33°,26°,多云,东南风3级
2020-06-13 周六,32°,25°,阴~雷阵雨,东风3级
2020-06-14 周日,30°,25°,小雨~中雨,东南风4级
2020-06-15 周一,32°,26°,中雨~雷阵雨,南风3级
2020-06-16 周二,33°,26°,小雨~雷阵雨,南风3级
2020-06-17 周三,32°,26°,中雨~多云,西南风3级
2020-06-18 周四,32°,26°,多云,西南风3级
2020-06-19 周五,34°,27°,阴~多云,西南风3级
2020-06-20 周六,34°,27°,多云,西南风3级
2020-06-21 周日,34°,28°,阴~多云,西南风3级
2020-06-22 周一,34°,28°,阴~多云,西南风3级
2020-06-23 周二,34°,27°,多云,西南风3级
2020-06-24 周三,34°,27°,阴~雷阵雨,西南风3级
2020-06-25 周四,32°,26°,中雨~雷阵雨,西南风3级
2020-06-26 周五,34°,26°,阴~雷阵雨,南风4级
2020-06-27 周六,34°,27°,多云,南风3级
2020-06-28 周日,35°,28°,阴~多云,南风3级
2020-06-29 周一,34°,28°,阴~多云,南风3级
2020-06-30 周二,35°,28°,阴~雷阵雨,东南风3级
2020-07-01 周三,34°,26°,阴~雷阵雨,东南风3级
2020-07-02 周四,33°,26°,中雨,东南风3级
2020-07-03 周五,31°,26°,中雨~雷阵雨,东南风3级
2020-07-04 周六,29°,26°,小雨~雷阵雨,东南风3级
2020-07-05 周日,34°,26°,阴~多云,南风3级
2020-07-06 周一,34°,27°,阴~晴,西南风3级
2020-07-07 周二,34°,28°,阴~多云,西南风3级
2020-07-08 周三,33°,27°,阴~雷阵雨,西南风3级
2020-07-09 周四,34°,28°,阴~多云,西南风4级
2020-07-10 周五,33°,28°,阴~多云,南风4级
2020-07-11 周六,34°,28°,阴~晴,南风4级
2020-07-12 周日,35°,28°,阴~晴,南风3级
2020-07-13 周一,36°,28°,多云~晴,南风2级
2020-07-14 周二,37°,28°,晴~多云,西南风2级
2020-07-15 周三,36°,28°,多云,西南风3级
2020-07-16 周四,36°,29°,多云,西南风3级
2020-07-17 周五,35°,29°,多云~晴,西南风3级
2020-07-18 周六,35°,29°,阴~晴,西南风3级
2020-07-19 周日,35°,29°,阴~晴,西南风3级
2020-07-20 周一,34°,28°,多云~晴,南风3级
2020-07-21 周二,35°,28°,小雨~晴,东南风3级
2020-07-22 周三,34°,28°,小雨~晴,东南风3级
2020-07-23 周四,36°,28°,多云~晴,东南风3级
2020-07-24 周五,35°,28°,多云~晴,西南风2级
2020-07-25 周六,36°,29°,阴~晴,西南风2级
2020-07-26 周日,36°,29°,阴~晴,南风3级
2020-07-27 周一,36°,28°,多云~雷阵雨,西南风3级
2020-07-28 周二,36°,28°,中雨~雷阵雨,南风3级
2020-07-29 周三,37°,28°,阴~雷阵雨,南风2级
2020-07-30 周四,35°,26°,多云~中雨,东南风2级
2020-07-31 周五,31°,26°,中雨~雷阵雨,东风3级
2020-08-01 周六,31°,26°,中雨~暴雨,东风4级
2020-08-02 周日,31°,25°,小雨~中雨,东南风3级
2020-08-03 周一,31°,26°,阴~阵雨,东南风3级
2020-08-04 周二,32°,25°,阴~暴雨,东南风2级
2020-08-05 周三,28°,25°,大雨~中雨,东南风3级
2020-08-06 周四,34°,26°,多云~晴,东南风3级
2020-08-07 周五,34°,27°,多云~晴,东南风3级
2020-08-08 周六,35°,27°,多云~晴,东南风2级
2020-08-09 周日,35°,28°,多云,南风3级
2020-08-10 周一,35°,28°,阴~多云,南风3级
2020-08-11 周二,34°,27°,小雨~雷阵雨,南风3级
2020-08-12 周三,32°,25°,中雨,东南风3级
2020-08-13 周四,30°,26°,中雨~雷阵雨,东南风3级
2020-08-14 周五,33°,27°,小雨~雷阵雨,东南风3级
2020-08-15 周六,32°,27°,大雨~雷阵雨,东南风3级
2020-08-16 周日,34°,27°,阴~雷阵雨,东南风2级
2020-08-17 周一,32°,27°,阴~雷阵雨,东南风3级
2020-08-18 周二,33°,25°,阴~大雨,东北风2级
2020-08-19 周三,27°,26°,暴雨~中雨,东南风4级
2020-08-20 周四,34°,26°,小雨~雷阵雨,东南风2级
2020-08-21 周五,34°,26°,多云,南风1级
2020-08-22 周六,34°,27°,小雨~多云,西南风2级
2020-08-23 周日,35°,26°,晴~多云,南风2级
2020-08-24 周一,35°,27°,小雨~多云,西南风2级
2020-08-25 周二,35°,26°,小雨~雷阵雨,西南风3级
2020-08-26 周三,35°,26°,阴~中雨,西南风2级
2020-08-27 周四,33°,25°,阴~多云,北风2级
2020-08-28 周五,35°,27°,多云~晴,东北风2级
2020-08-29 周六,34°,27°,晴,西北风2级
2020-08-30 周日,35°,28°,晴,东北风2级
2020-08-31 周一,33°,27°,阴~多云,北风2级
2020-09-01 周二,35°,27°,多云,东北风2级
2020-09-02 周三,35°,27°,多云,北风2级
2020-09-03 周四,36°,27°,多云,东北风2级
